"","county_desc","precinct_abbrv","vtd_abbrv","party_cd","race_code","ethnic_code","sex_code","age","actual_voters","total_voters","non_voters"
"75","ALAMANCE","035","035","DEM","B","HL","F","Age 18 - 25",1,2,1
"94","ALAMANCE","06N","06N","DEM","B","HL","F","Age 18 - 25",1,1,0
"95","ALAMANCE","06S","06S","DEM","B","HL","F","Age 18 - 25",1,1,0
"107","ALAMANCE","09S","09S","DEM","B","HL","F","Age 18 - 25",1,1,0
"112","ROBESON","11","11","DEM","B","HL","F","Age 18 - 25",1,1,0
"126","ALAMANCE","125","125","DEM","B","HL","F","Age 18 - 25",1,1,0
"128","ALAMANCE","12N","12N","DEM","B","HL","F","Age 18 - 25",1,1,0
"176","CATAWBA","25","25","DEM","B","HL","F","Age 18 - 25",1,1,0
"192","GATES","4S","4S","DEM","B","HL","F","Age 18 - 25",1,1,0
"204","LINCOLN","BC13","BC13","DEM","B","HL","F","Age 18 - 25",1,1,0
"220","ROCKINGHAM","ED-1","ED-1","DEM","B","HL","F","Age 18 - 25",1,3,2
"221","ONSLOW","EN03","EN03","DEM","B","HL","F","Age 18 - 25",3,4,1
"268","VANCE","NH1","NH1","DEM","B","HL","F","Age 18 - 25",1,1,0
"271","BLADEN","P502","P502","DEM","B","HL","F","Age 18 - 25",1,1,0
"277","WILSON","PRWN","PRWN","DEM","B","HL","F","Age 18 - 25",1,1,0
"281","VANCE","SH2","SH2","DEM","B","HL","F","Age 18 - 25",1,1,0
"286","ONSLOW","TL06","TL06","DEM","B","HL","F","Age 18 - 25",2,2,0
"292","DUPLIN","WARS","WARS","DEM","B","HL","F","Age 18 - 25",1,1,0
"334","CATAWBA","13","13","UNA","B","HL","F","Age 18 - 25",1,1,0
"390","NORTHAMPTON","GASTON","GASTON","UNA","B","HL","F","Age 18 - 25",1,1,0
"392","ONSLOW","HM05","HM05","UNA","B","HL","F","Age 18 - 25",1,1,0
"399","BLADEN","P15","P15","UNA","B","HL","F","Age 18 - 25",1,1,0
"400","BLADEN","P202","P202","UNA","B","HL","F","Age 18 - 25",1,1,0
"406","WILSON","PRWQ","PRWQ","UNA","B","HL","F","Age 18 - 25",1,1,0
"407","WILSON","PRWR","PRWR","UNA","B","HL","F","Age 18 - 25",1,1,0
"408","NORTHAMPTON","RICH S","RICH-S","UNA","B","HL","F","Age 18 - 25",1,1,0
"413","DUPLIN","WALL","WALL","UNA","B","HL","F","Age 18 - 25",1,1,0
"414","VANCE","CC","WATK","UNA","B","HL","F","Age 18 - 25",1,1,0
"423","ALAMANCE","12E","12E","DEM","I","HL","F","Age 18 - 25",1,1,0
"424","ALAMANCE","13","13","DEM","I","HL","F","Age 18 - 25",1,1,0
"427","ROBESON","28","28","DEM","I","HL","F","Age 18 - 25",1,1,0
"442","BURKE","0031","0031","UNA","I","HL","F","Age 18 - 25",1,1,0
"453","ROBESON","21","21","UNA","I","HL","F","Age 18 - 25",1,1,0
"471","GRAHAM","WEST","WEST","UNA","I","HL","F","Age 18 - 25",1,1,0
"476","BURKE","0038","0038","DEM","M","HL","F","Age 18 - 25",1,1,0
"477","BURKE","0048","0048","DEM","M","HL","F","Age 18 - 25",1,1,0
"524","ALAMANCE","03N","03N","DEM","M","HL","F","Age 18 - 25",1,1,0
"548","CATAWBA","07","07","DEM","M","HL","F","Age 18 - 25",2,2,0
"566","ALAMANCE","08S","08S","DEM","M","HL","F","Age 18 - 25",1,1,0
"569","ROBESON","09","09","DEM","M","HL","F","Age 18 - 25",2,2,0
"584","ALAMANCE","10S","10S","DEM","M","HL","F","Age 18 - 25",2,2,0
"597","ALAMANCE","1210","1210","DEM","M","HL","F","Age 18 - 25",1,1,0
"603","ALAMANCE","12N","12N","DEM","M","HL","F","Age 18 - 25",1,1,0
"604","ROBESON","13","13","DEM","M","HL","F","Age 18 - 25",1,1,0
"688","CHATHAM","30","30","DEM","M","HL","F","Age 18 - 25",1,1,0
"689","ROBESON","30","30","DEM","M","HL","F","Age 18 - 25",1,2,1
"695","CATAWBA","33","33","DEM","M","HL","F","Age 18 - 25",1,1,0
"705","CATAWBA","40","40","DEM","M","HL","F","Age 18 - 25",1,1,0
